ステート・ストリート銀行,外銀,対応しない,­,­,­,­,http://www.statestreet.com/content/dam/statestreet/documents/RegionalsSite/Japan/BT_%E9%9B%BB%E5%AD%90%E6%B1%BA%E6%B8%88%E7%AD%89%E4%BB%A3%E8%A1%8C%E6%A5%AD%E8%80%85%E9%80%A3%E6%90%BA%E7%AD%89%E6%96%B9%E9%87%9D.pdf,
中小企業銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
韓国産業銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
彰化商業銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
ウェルズ・ファーゴ銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
第一商業銀行,外銀,対応しない,­,­,­,­,http://www.kenko-net.co.jp/firstbank/index.html#news01,
台湾銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
交通銀行,外銀,対応しない,­,­,­,­,http://www.bankcomm.jp/JP/present2018-1.html,
メトロポリタン銀行,外銀,対応しない,­,­,­,­,http://www.metrobank.co.jp/jp/data/Policy_Fintech_JP.pdf,
ﾌｨﾘﾋﾟﾝ･ﾅｼｮﾅﾙ･ﾊﾞﾝｸ,外銀,対応しない,­,­,­,­,http://www.pnb.com.ph/japan/index.php/jp/index.html,
中国工商銀行,外銀,対応しない,­,­,­,­,http://japan.icbc.com.cn/ICBC/海外分行/东京网站/jn/有关规定1/有关规定/关于与电子结算等代理机构的合作及协同方针/,
中國信託商業銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
ｲﾝﾃｰｻﾞ･ｻﾝﾊﾟｵﾛ,外銀,対応しない,­,­,­,­,店舗に備え置き,
國民銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
中国建設銀行,外銀,対応しない,­,­,­,­,http://jp.ccb.com/tokyo/lng/201802231519355889.html,
ｲﾀｳ･ｳﾆﾊﾞﾝｺ銀行,外銀,対応しない,­,­,­,­,http://www.itau.co.jp/jpn/site/policy/policy_fintech.html,
ビルバオ・ビスカヤ・アルヘンタリア銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
中国農業銀行,外銀,対応しない,­,­,­,­,http://www.jp.abchina.com/jp/announcement/201802/t20180221_1318275.htm,
台新國際商業銀行,外銀,対応しない,­,­,­,­,https://www.taishinbank.com.tw/TS/TS05/TS0599/TS059904/TS05990405/TSB0764005,
玉山銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
台湾中小企業銀行,外銀,対応しない,­,­,­,­,http://classic-web.tbb.com.tw/branches_out_detail.html?_branches_outside.swift=MBBTJPJT,
ユーロクリア・バンク・エスアー・エヌヴェー,外銀,対応しない,­,­,­,­,店舗に備え置き,
パキスタン・ナショナル銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
ニューヨークメロン銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
